"","T.H.I","T.F.E","T.E","I.H.R.V","MCareExp","Tra.Exp","G.F.G.E","H.H.Age","Floor.Area","House.Age","PPN","CYP","GL","BYS","RTvsNT","Number.of.bedrooms","Number.of.Television","Number.of.CD.VCD.DVD","Number.of.Component.Stereo.set","Number.of.Refrigerator.Freezer","Number.of.Washing.Machine","Number.of.Airconditioner","Number.of.Car..Jeep..Van","Number.of.Landline.wireless.telephones","Number.of.Cellular.phone","Number.of.Personal.Computer","Number.of.Stove.with.Oven.Gas.Range","Number.of.Motorized.Banca","Number.of.Motorcycle.Tricycle","Region","Main.Source.of.Income","Household.Head.Sex","Household.Head.Marital.Status","Household.Head.Job.or.Business.Indicator","Household.Head.Class.of.Worker","Type.of.Household","Type.of.Building.House","Type.of.Roof","Type.of.Walls","Tenure.Status","Toilet.Facilities","Electricity","Main.Source.of.Water.Supply","Young.Members"
"11",105675,70592,0,6000,248,1800,0,38,80,25,40529,17387,15583,30545,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,"III - Central Luzon","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Rent-free house and lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"12",432110,149451,2490,24000,2192,8328,0,31,60,4,62618,25705,51346,86431,25,1,1,1,0,1,1,0,0,0,3,1,0,0,1,"IVB - MIMAROPA","Enterpreneurial Activities","Male","Married","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"13",90570,51225,468,7800,70,2040,19360,67,20,15,46395,8600,4076,21352,16.6666666666667,2,1,0,1,0,0,0,0,0,0,0,0,0,0,"XI - Davao Region","Other sources of Income","Female","Widowed","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","Less than 5 years old"
"14",316579,181149,5430,42000,0,2514,0,53,69,50,42750,57244,74117,72643,37.5,3,1,1,0,0,1,0,0,0,3,0,0,0,0,"NCR","Wage/Salaries","Male","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"15",122319,57319,260,5400,314,798,0,36,63,7,45437,19908,4730,17151,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VIII - Eastern Visayas","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own house, rent-free lot with consent of owner","None","No","Dug well","both"
"16",141282,55847,0,18000,1995,11394,0,76,60,31,27278,11718,24952,40110,33.3333333333333,2,1,1,0,1,0,0,0,0,2,0,1,0,1,"IVA - CALABARZON","Wage/Salaries","Female","Widowed","No Job/Business","Worked for government/government corporation","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"17",558940,111863,0,60000,7380,67344,167500,54,75,3,59430,28636,42400,134973,0,2,1,1,0,1,1,0,2,0,4,0,1,0,0,"CAR","Enterpreneurial Activities","Male","Married","With Job/Business","Employer in own family-operated farm or business","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Protected spring, river, stream, etc","No children"
"18",96555,35832,0,12000,89,3528,0,26,70,33,29729,10406,5770,24010,33.3333333333333,1,1,1,0,0,0,0,0,0,1,0,0,0,0,"X - Northern Mindanao","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Tubed/piped shallow well","between 5 and 17 years old"
"19",66721,25270,0,12000,2545,3240,0,63,60,5,13220,4630,9260,23130,100,1,1,1,0,0,0,0,0,0,1,0,0,0,0,"I - Ilocos Region","Other sources of Income","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","No children"
"20",804600,83127,404,12000,1406,1554,0,46,13,35,83162,20108,43510,93961,0,2,1,1,0,1,1,0,0,0,4,0,0,0,0,"X - Northern Mindanao","Other sources of Income","Female","Married","No Job/Business","Worked for government/government corporation","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"21",864824,101565,0,42000,360,11802,49785,62,95,29,64469,27772,26016,86741,0,2,1,0,0,1,0,0,0,0,3,0,0,0,1,"IVA - CALABARZON","Enterpreneurial Activities","Male","Married","With Job/Business","Employer in own family-operated farm or business","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"22",212010,76087,0,45000,17340,2388,0,62,155,18,46239,25374,8860,95937,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,"CAR","Other sources of Income","Male","Married","No Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Peddler","between 5 and 17 years old"
"23",81987,46464,0,7800,85,1758,0,40,25,1,46725,11924,3197,21201,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"VIII - Eastern Visayas","Other sources of Income","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","No","Own use, tubed/piped deep well","between 5 and 17 years old"
"24",377976,55323,0,60000,2250,3702,0,62,48,32,37644,15630,12302,98667,0,4,1,1,0,1,0,0,1,2,0,1,0,0,0,"I - Ilocos Region","Other sources of Income","Male","Married","With Job/Business","Employer in own family-operated farm or business","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Quite Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","No children"
"25",107202,58666,7658,3600,59,1332,0,41,28,21,49014,17686,8178,17732,42.8571428571429,1,1,0,0,0,0,0,0,0,2,0,0,0,0,"V - Bicol Region","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Light material (cogon,nipa,anahaw)","Strong","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Dug well","both"
"26",282810,125379,0,15000,180,12912,40700,34,30,35,63190,31919,45140,71886,0,3,1,1,0,0,1,0,0,0,3,2,0,0,1,"III - Central Luzon","Wage/Salaries","Female","Married","No Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"27",144200,83003,0,13200,0,9624,0,51,45,22,49429,23154,13523,45044,25,2,1,1,0,1,0,0,0,0,2,0,0,0,1,"XII - SOCCSKSARGEN","Enterpreneurial Activities","Female","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Tubed/piped shallow well","No children"
"28",23253,15129,0,2100,725,3420,0,70,20,6,12693,4363,468,7034,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Caraga","Enterpreneurial Activities","Female","Widowed","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own or owner-like possession of house and lot","None","Si","Dug well","No children"
"29",371148,114537,0,0,3530,16104,0,45,40,14,40828,22326,59642,147464,0,1,1,1,1,1,1,0,0,0,2,2,1,0,1,"IVA - CALABARZON","Other sources of Income","Female","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent house/room including lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"30",216517,128854,0,6000,54,8856,0,56,30,21,79304,34942,40680,30344,33.3333333333333,1,1,0,0,0,0,0,0,0,3,0,0,0,1,"II - Cagayan Valley","Enterpreneurial Activities","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","between 5 and 17 years old"
"31",608475,146169,0,6900,4055,10386,0,41,28,3,71007,44327,31022,132705,25,1,1,1,1,1,1,0,0,0,5,2,0,0,1,"IX - Zasmboanga Peninsula","Wage/Salaries","Male","Married","With Job/Business","Worked for government/government corporation","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"32",117564,75643,7240,6000,4805,2508,0,60,44,26,57095,20940,8558,19572,33.3333333333333,0,1,0,2,0,0,0,0,0,4,0,0,0,0,"VI - Western Visayas","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Mixed but predominantly light materials","Very Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Dug well","between 5 and 17 years old"
"33",221362,102777,0,51000,1757,8898,0,56,46,18,92892,20625,15318,88691,14.2857142857143,3,1,0,0,0,0,0,0,0,3,0,0,0,0,"VI - Western Visayas","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","between 5 and 17 years old"
"34",417027,141769,0,36000,24025,20442,38867,63,140,12,47711,30073,61860,112039,14.2857142857143,3,1,1,1,1,1,1,1,0,3,1,0,0,1,"II - Cagayan Valley","Other sources of Income","Male","Married","With Job/Business","Employer in own family-operated farm or business","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","between 5 and 17 years old"
"35",90200,52206,1456,10200,374,4920,0,51,52,17,43908,11411,720,18932,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0," ARMM","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own or owner-like possession of house and lot","Closed pit","No","Dug well","No children"
"36",62253,38293,2230,6000,30,1536,34749,63,27,20,27000,6730,5416,15857,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"XII - SOCCSKSARGEN","Enterpreneurial Activities","Male","Widowed","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, shared with other household","No","Dug well","between 5 and 17 years old"
"37",388346,74274,0,12000,5949,12444,0,36,20,3,51451,22672,9700,72762,33.3333333333333,1,1,1,0,1,1,1,0,0,3,1,1,0,1,"IX - Zasmboanga Peninsula","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Mixed but predominantly light materials","Very Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"38",77469,59847,0,4800,1087,6960,19104,55,35,12,29887,9127,14734,16272,14.2857142857143,1,0,0,0,0,0,0,0,0,2,0,0,0,0,"VII - Central Visayas","Wage/Salaries","Male","Married","With Job/Business","Self-employed wihout any employee","Extended Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, faucet, community water system","between 5 and 17 years old"
"39",143405,43829,0,27000,1014,28356,0,67,20,16,23072,12912,1620,41198,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"NCR","Enterpreneurial Activities","Female","Single","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"40",161051,64040,1924,4800,800,618,34786,61,20,3,49984,10036,10411,15979,40,2,0,0,0,0,0,0,0,0,3,0,0,0,0,"IX - Zasmboanga Peninsula","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Light material (cogon,nipa,anahaw)","Light","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","both"
"41",84076,35712,0,14400,1383,4080,0,63,80,17,23369,7317,4445,28429,100,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"V - Bicol Region","Other sources of Income","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Light material (cogon,nipa,anahaw)","Quite Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","No children"
"42",731570,129541,21720,60000,380,19464,0,62,90,22,42564,44532,50048,138704,400,3,3,1,1,1,1,2,1,0,2,0,1,0,0,"II - Cagayan Valley","Other sources of Income","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","No children"
"43",111590,76491,4344,12000,6037,13122,0,34,30,15,67774,11873,22648,39494,16.6666666666667,1,1,0,1,0,0,0,0,0,1,0,0,0,0,"III - Central Luzon","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","both"
"44",469517,205753,16290,34800,1917,37572,0,38,36,19,76631,61896,71168,112944,50,2,1,1,0,1,1,1,0,0,6,1,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Multi-unit residential","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent-free house and lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"45",36908,38413,0,3600,100,2400,23480,72,26,28,38722,9136,952,8758,50,2,1,0,0,0,0,0,0,0,0,0,0,0,0,"XII - SOCCSKSARGEN","Enterpreneurial Activities","Male","Widowed","No Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Very Light","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Dug well","No children"
"46",109717,46135,672,6000,0,7980,95622,27,50,21,29235,9510,8610,20544,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1," ARMM","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Own or owner-like possession of house and lot","Closed pit","Si","Lake, river, rain and others","No children"
"47",156291,74992,150,18000,1880,11124,42462,60,80,17,52553,25530,10818,56781,0,2,1,1,1,1,0,0,0,0,2,0,0,0,1,"XII - SOCCSKSARGEN","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, other depository, used exclusively by household","Si","Own use, tubed/piped deep well","No children"
"48",91643,39262,2465,6600,5120,4008,0,48,36,25,27441,13925,1850,16921,66.6666666666667,2,0,0,0,0,0,0,0,0,2,0,0,0,0,"IX - Zasmboanga Peninsula","Wage/Salaries","Female","Widowed","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, tubed/piped deep well","between 5 and 17 years old"
"49",114218,59631,6800,0,199,6006,0,53,80,21,22289,5120,56317,31837,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"VII - Central Visayas","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Light","Rent house/room including lot","Open pit","Si","Own use, faucet, community water system","No children"
"50",284230,91283,7505,9000,55,11724,0,43,70,22,56241,26238,46214,41978,50,3,1,1,0,0,0,0,0,0,3,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent house/room including lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Shared, faucet, community water system","between 5 and 17 years old"
"51",170400,78525,310,6000,434,2520,0,50,23,1,74648,15716,3210,34939,33.3333333333333,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"XI - Davao Region","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Protected spring, river, stream, etc","both"
"52",149228,93465,5435,12000,1382,8556,0,59,100,23,50862,28912,29500,40093,28.5714285714286,3,1,1,0,1,0,0,0,0,1,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Female","Widowed","No Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","both"
"53",124218,50755,0,4800,12557,4440,0,81,72,41,45538,10414,5598,29157,25,3,1,0,1,1,0,0,0,0,1,0,0,0,0,"X - Northern Mindanao","Wage/Salaries","Male","Widowed","No Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"54",239200,127903,1690,13800,2300,6600,0,85,30,40,82729,48017,12794,45016,11.1111111111111,3,1,0,0,0,1,0,0,0,2,0,0,0,1,"I - Ilocos Region","Enterpreneurial Activities","Female","Widowed","No Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, shared with other household","Si","Shared, faucet, community water system","both"
"55",139414,93217,1040,4800,1122,1980,60664,50,30,17,99130,17863,13968,32415,16.6666666666667,2,1,0,0,0,0,0,0,0,1,0,0,0,0,"V - Bicol Region","Enterpreneurial Activities","Male","Married","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Unprotected spring, river, stream, etc","between 5 and 17 years old"
"56",404085,133829,8145,24000,51511,18876,0,48,100,27,80177,27285,31028,114175,37.5,3,1,0,0,0,1,0,0,0,3,0,0,0,0,"IVA - CALABARZON","Wage/Salaries","Male","Married","With Job/Business","Worked for private establishment","Extended Family","Multi-unit residential","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","Less than 5 years old"
"57",234900,85266,9774,30000,50,5058,0,51,60,20,31737,12468,44416,59076,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,"NCR","Other sources of Income","Male","Single","No Job/Business","Self-employed wihout any employee","Extended Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
"58",166732,38638,0,60000,13899,504,0,81,180,53,16621,5395,13606,107624,0,4,1,0,0,1,1,0,0,0,1,0,0,0,0,"IVA - CALABARZON","Other sources of Income","Female","Widowed","With Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Rent-free house and lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, tubed/piped deep well","No children"
"59",136738,91412,5430,25200,1417,1080,0,75,25,65,50196,5212,44840,123501,33.3333333333333,0,1,0,0,0,0,0,0,0,1,0,1,0,0,"VII - Central Visayas","Other sources of Income","Male","Married","No Job/Business","Self-employed wihout any employee","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, other depository, used exclusively by household","Si","Own use, faucet, community water system","No children"
"60",1605907,347071,1901,150000,4205,43140,0,48,80,1,92586,84426,195310,432744,28.5714285714286,3,1,1,0,1,1,1,1,0,6,2,0,0,2,"IVB - MIMAROPA","Enterpreneurial Activities","Male","Married","With Job/Business","Worked for private establishment","Single Family","Single house","Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)","Strong","Own or owner-like possession of house and lot","Water-sealed, sewer septic tank, used exclusively by household","Si","Own use, faucet, community water system","between 5 and 17 years old"
